[{'X': 0.8348871469497681, 'Y': 0.8109266757965088, 'Z': -0.00010845094948308542}, {'X': 0.755815863609314, 'Y': 0.7652427554130554, 'Z': 0.00232227286323905}, {'X': 0.7178778648376465, 'Y': 0.670122504234314, 'Z': 0.019926508888602257}, {'X': 0.7084882259368896, 'Y': 0.583326518535614, 'Z': 0.029751315712928772}, {'X': 0.6930516958236694, 'Y': 0.5240272283554077, 'Z': 0.042357541620731354}, {'X': 0.7624245285987854, 'Y': 0.5742385387420654, 'Z': 0.05359085276722908}, {'X': 0.7538015842437744, 'Y': 0.46963316202163696, 'Z': 0.05131750553846359}, {'X': 0.7499974966049194, 'Y': 0.4058014750480652, 'Z': 0.043671876192092896}, {'X': 0.7481862902641296, 'Y': 0.348124623298645, 'Z': 0.034611720591783524}, {'X': 0.8045079112052917, 'Y': 0.5614685416221619, 'Z': 0.036779217422008514}, {'X': 0.796552836894989, 'Y': 0.4461444914340973, 'Z': 0.03658108785748482}, {'X': 0.7943096160888672, 'Y': 0.3745845556259155, 'Z': 0.012376152910292149}, {'X': 0.7925571799278259, 'Y': 0.31470683217048645, 'Z': -0.008294297382235527}, {'X': 0.8461358547210693, 'Y': 0.5697385668754578, 'Z': 0.014695912599563599}, {'X': 0.839665412902832, 'Y': 0.4627456068992615, 'Z': 0.012113966979086399}, {'X': 0.8354504108428955, 'Y': 0.3957834243774414, 'Z': -0.009058489464223385}, {'X': 0.8321334719657898, 'Y': 0.3404165208339691, 'Z': -0.026597434654831886}, {'X': 0.8902271389961243, 'Y': 0.5965524315834045, 'Z': -0.007721457164734602}, {'X': 0.8887495398521423, 'Y': 0.5075196623802185, 'Z': -0.017716361209750175}, {'X': 0.8847829103469849, 'Y': 0.45150747895240784, 'Z': -0.03627266734838486}, {'X': 0.8787855505943298, 'Y': 0.3999331593513489, 'Z': -0.0511266253888607}]
[{'X': 0.8347445726394653, 'Y': 0.8053691983222961, 'Z': -0.00011251585965510458}, {'X': 0.7546625733375549, 'Y': 0.7629811763763428, 'Z': -0.0009476920240558684}, {'X': 0.7163711786270142, 'Y': 0.6689316034317017, 'Z': 0.015831688418984413}, {'X': 0.7072252631187439, 'Y': 0.5834854245185852, 'Z': 0.024850944057106972}, {'X': 0.6921780705451965, 'Y': 0.5251942873001099, 'Z': 0.03732249140739441}, {'X': 0.7600891590118408, 'Y': 0.5739418864250183, 'Z': 0.049985483288764954}, {'X': 0.7520180344581604, 'Y': 0.47112971544265747, 'Z': 0.04658598452806473}, {'X': 0.7469181418418884, 'Y': 0.40771013498306274, 'Z': 0.03859749808907509}, {'X': 0.7436606884002686, 'Y': 0.3496689796447754, 'Z': 0.029446398839354515}, {'X': 0.8030989766120911, 'Y': 0.5615239143371582, 'Z': 0.03459913656115532}, {'X': 0.796318769454956, 'Y': 0.4484921991825104, 'Z': 0.035150833427906036}, {'X': 0.7933757901191711, 'Y': 0.3769878149032593, 'Z': 0.010174375027418137}, {'X': 0.7914280295372009, 'Y': 0.31699633598327637, 'Z': -0.010812580585479736}, {'X': 0.8461912870407104, 'Y': 0.5707875490188599, 'Z': 0.01334351021796465}, {'X': 0.840295135974884, 'Y': 0.4649967849254608, 'Z': 0.009670782834291458}, {'X': 0.8362872004508972, 'Y': 0.3975834846496582, 'Z': -0.015494329854846}, {'X': 0.8336021900177002, 'Y': 0.3414684236049652, 'Z': -0.035342950373888016}, {'X': 0.8917550444602966, 'Y': 0.598827600479126, 'Z': -0.008103701286017895}, {'X': 0.8893160223960876, 'Y': 0.510147750377655, 'Z': -0.020713187754154205}, {'X': 0.8848556280136108, 'Y': 0.45400702953338623, 'Z': -0.041710998862981796}, {'X': 0.8790721297264099, 'Y': 0.40252017974853516, 'Z': -0.057886771857738495}]
[{'X': 0.8319248557090759, 'Y': 0.809169352054596, 'Z': -9.159817273030058e-05}, {'X': 0.7530798316001892, 'Y': 0.7655495405197144, 'Z': 0.0033782494720071554}, {'X': 0.7154058218002319, 'Y': 0.6702883839607239, 'Z': 0.026453228667378426}, {'X': 0.7048622965812683, 'Y': 0.5846708416938782, 'Z': 0.040712423622608185}, {'X': 0.6916859745979309, 'Y': 0.5252063870429993, 'Z': 0.059355445206165314}, {'X': 0.7596755027770996, 'Y': 0.5786378979682922, 'Z': 0.06237902492284775}, {'X': 0.7513819336891174, 'Y': 0.4706856608390808, 'Z': 0.06274082511663437}, {'X': 0.7479195594787598, 'Y': 0.4061305522918701, 'Z': 0.0564485564827919}, {'X': 0.7474242448806763, 'Y': 0.34906816482543945, 'Z': 0.048708897083997726}, {'X': 0.8019381165504456, 'Y': 0.5662729740142822, 'Z': 0.04554501920938492}, {'X': 0.7954936623573303, 'Y': 0.44589170813560486, 'Z': 0.04607446864247322}, {'X': 0.7934860587120056, 'Y': 0.37261638045310974, 'Z': 0.02099514566361904}, {'X': 0.7930549383163452, 'Y': 0.3134860098361969, 'Z': -0.00013890422997064888}, {'X': 0.8447849154472351, 'Y': 0.5741230249404907, 'Z': 0.022599080577492714}, {'X': 0.8396009206771851, 'Y': 0.46238359808921814, 'Z': 0.01901373639702797}, {'X': 0.8349178433418274, 'Y': 0.39410215616226196, 'Z': -0.006433841772377491}, {'X': 0.8319633603096008, 'Y': 0.33847445249557495, 'Z': -0.027182159945368767}, {'X': 0.8900139927864075, 'Y': 0.6007413864135742, 'Z': -0.00019308683113195002}, {'X': 0.8880659937858582, 'Y': 0.5105632543563843, 'Z': -0.010874766856431961}, {'X': 0.8838217258453369, 'Y': 0.4540834426879883, 'Z': -0.03189738467335701}, {'X': 0.8776219487190247, 'Y': 0.4017438292503357, 'Z': -0.04863183945417404}]
[{'X': 0.8292717337608337, 'Y': 0.8135079145431519, 'Z': -7.940929208416492e-05}, {'X': 0.7516215443611145, 'Y': 0.7642878293991089, 'Z': 0.00016334453539457172}, {'X': 0.7142038941383362, 'Y': 0.6711271405220032, 'Z': 0.019291875883936882}, {'X': 0.7053635716438293, 'Y': 0.5872741937637329, 'Z': 0.030212806537747383}, {'X': 0.6927213072776794, 'Y': 0.5274238586425781, 'Z': 0.04415619373321533}, {'X': 0.7609244585037231, 'Y': 0.5804102420806885, 'Z': 0.055971331894397736}, {'X': 0.7499752044677734, 'Y': 0.4720332622528076, 'Z': 0.057191140949726105}, {'X': 0.7460732460021973, 'Y': 0.4081406891345978, 'Z': 0.049631692469120026}, {'X': 0.7457828521728516, 'Y': 0.35087376832962036, 'Z': 0.04016915336251259}, {'X': 0.8042652010917664, 'Y': 0.5671058297157288, 'Z': 0.04089242219924927}, {'X': 0.7951003313064575, 'Y': 0.4482421278953552, 'Z': 0.04353492334485054}, {'X': 0.790576696395874, 'Y': 0.374839723110199, 'Z': 0.020488504320383072}, {'X': 0.7883469462394714, 'Y': 0.3159521222114563, 'Z': 0.0008722245693206787}, {'X': 0.8471131920814514, 'Y': 0.5736851692199707, 'Z': 0.019261810928583145}, {'X': 0.839667797088623, 'Y': 0.4634016156196594, 'Z': 0.019333884119987488}, {'X': 0.8334360718727112, 'Y': 0.3924606442451477, 'Z': -0.005152432713657618}, {'X': 0.8296593427658081, 'Y': 0.3363000154495239, 'Z': -0.024296000599861145}, {'X': 0.8914572596549988, 'Y': 0.5994907021522522, 'Z': -0.002490036655217409}, {'X': 0.8880968689918518, 'Y': 0.5089917182922363, 'Z': -0.011623777449131012}, {'X': 0.8829533457756042, 'Y': 0.45214778184890747, 'Z': -0.03016899712383747}, {'X': 0.8760999441146851, 'Y': 0.4022204279899597, 'Z': -0.04581630602478981}]
[{'X': 0.8313760757446289, 'Y': 0.8137613534927368, 'Z': -9.254412725567818e-05}, {'X': 0.751804530620575, 'Y': 0.764069139957428, 'Z': 0.0013450123369693756}, {'X': 0.7137025594711304, 'Y': 0.6697298884391785, 'Z': 0.021361662074923515}, {'X': 0.7047746181488037, 'Y': 0.5863015055656433, 'Z': 0.03303654119372368}, {'X': 0.6909686923027039, 'Y': 0.5249866247177124, 'Z': 0.048478517681360245}, {'X': 0.7605258822441101, 'Y': 0.5799874067306519, 'Z': 0.06248670816421509}, {'X': 0.7503989934921265, 'Y': 0.47501707077026367, 'Z': 0.06273075193166733}, {'X': 0.7438111901283264, 'Y': 0.4114312529563904, 'Z': 0.05400022864341736}, {'X': 0.7395492196083069, 'Y': 0.3533700406551361, 'Z': 0.043754223734140396}, {'X': 0.8036903142929077, 'Y': 0.5670012831687927, 'Z': 0.04591739550232887}, {'X': 0.7964782118797302, 'Y': 0.4508432149887085, 'Z': 0.048704661428928375}, {'X': 0.7910691499710083, 'Y': 0.377703994512558, 'Z': 0.023228028789162636}, {'X': 0.7867551445960999, 'Y': 0.3177689015865326, 'Z': 0.003272989531978965}, {'X': 0.8465244174003601, 'Y': 0.5738129019737244, 'Z': 0.02281261794269085}, {'X': 0.841422438621521, 'Y': 0.4657815098762512, 'Z': 0.02223457768559456}, {'X': 0.8351986408233643, 'Y': 0.3952487111091614, 'Z': -0.0035518186632543802}, {'X': 0.8300886154174805, 'Y': 0.3377726376056671, 'Z': -0.02420932427048683}, {'X': 0.8912709355354309, 'Y': 0.5994044542312622, 'Z': -0.0005555624375119805}, {'X': 0.8887593746185303, 'Y': 0.5092248916625977, 'Z': -0.011117592453956604}, {'X': 0.8835207223892212, 'Y': 0.4522498548030853, 'Z': -0.031422872096300125}, {'X': 0.8767785429954529, 'Y': 0.4017378091812134, 'Z': -0.047006312757730484}]
[{'X': 0.8351039886474609, 'Y': 0.8091093301773071, 'Z': -0.00010676553938537836}, {'X': 0.7549246549606323, 'Y': 0.7651296257972717, 'Z': 0.006539506837725639}, {'X': 0.7162349224090576, 'Y': 0.6691628694534302, 'Z': 0.03181731700897217}, {'X': 0.7042117118835449, 'Y': 0.5834365487098694, 'Z': 0.04766670987010002}, {'X': 0.6895079612731934, 'Y': 0.5240548849105835, 'Z': 0.06775210797786713}, {'X': 0.7617707252502441, 'Y': 0.5783185362815857, 'Z': 0.06841433048248291}, {'X': 0.7521251440048218, 'Y': 0.47022897005081177, 'Z': 0.07276240736246109}, {'X': 0.7475993633270264, 'Y': 0.40630677342414856, 'Z': 0.06780394911766052}, {'X': 0.7467498779296875, 'Y': 0.3503119945526123, 'Z': 0.0605391263961792}, {'X': 0.8033794164657593, 'Y': 0.5649529695510864, 'Z': 0.05050545930862427}, {'X': 0.7959505915641785, 'Y': 0.4454893469810486, 'Z': 0.05621124431490898}, {'X': 0.7922946214675903, 'Y': 0.372501015663147, 'Z': 0.034198347479104996}, {'X': 0.7911278605461121, 'Y': 0.3153839111328125, 'Z': 0.014975596219301224}, {'X': 0.846025288105011, 'Y': 0.5713682174682617, 'Z': 0.026596397161483765}, {'X': 0.8408139944076538, 'Y': 0.46099787950515747, 'Z': 0.02673734538257122}, {'X': 0.835026741027832, 'Y': 0.3920988440513611, 'Z': 0.003414484905079007}, {'X': 0.8311651945114136, 'Y': 0.3383564054965973, 'Z': -0.015759987756609917}, {'X': 0.8910719156265259, 'Y': 0.5963872671127319, 'Z': 0.0027941532898694277}, {'X': 0.888953447341919, 'Y': 0.5062474608421326, 'Z': -0.005846192128956318}, {'X': 0.8844309449195862, 'Y': 0.44889238476753235, 'Z': -0.024887576699256897}, {'X': 0.878082275390625, 'Y': 0.39771872758865356, 'Z': -0.04034212604165077}]
[{'X': 0.8384939432144165, 'Y': 0.8048673868179321, 'Z': -0.0001061103685060516}, {'X': 0.7587424516677856, 'Y': 0.7595311403274536, 'Z': 0.006758395582437515}, {'X': 0.7211372256278992, 'Y': 0.6642261743545532, 'Z': 0.03210574761033058}, {'X': 0.7100139260292053, 'Y': 0.5782288312911987, 'Z': 0.04819022864103317}, {'X': 0.6960338354110718, 'Y': 0.5209580063819885, 'Z': 0.06990104168653488}, {'X': 0.7623945474624634, 'Y': 0.5733653903007507, 'Z': 0.0739675983786583}, {'X': 0.7551463842391968, 'Y': 0.4700114130973816, 'Z': 0.07852552086114883}, {'X': 0.7532029151916504, 'Y': 0.4089859127998352, 'Z': 0.07504924386739731}, {'X': 0.7520079016685486, 'Y': 0.3559691607952118, 'Z': 0.06749226897954941}, {'X': 0.8039038181304932, 'Y': 0.5605289340019226, 'Z': 0.05543107911944389}, {'X': 0.7972078919410706, 'Y': 0.4429709315299988, 'Z': 0.05870501324534416}, {'X': 0.7955578565597534, 'Y': 0.37444162368774414, 'Z': 0.03563852980732918}, {'X': 0.7940840721130371, 'Y': 0.3169044256210327, 'Z': 0.0161785576492548}, {'X': 0.8459844589233398, 'Y': 0.567247748374939, 'Z': 0.03072487935423851}, {'X': 0.8395469188690186, 'Y': 0.45816653966903687, 'Z': 0.030737832188606262}, {'X': 0.8357406258583069, 'Y': 0.3926650285720825, 'Z': 0.010654928162693977}, {'X': 0.8317204117774963, 'Y': 0.3365393280982971, 'Z': -0.006650305353105068}, {'X': 0.890199601650238, 'Y': 0.5929841995239258, 'Z': 0.006173539906740189}, {'X': 0.8882150053977966, 'Y': 0.5059633255004883, 'Z': -0.0009388286853209138}, {'X': 0.8852278590202332, 'Y': 0.45016682147979736, 'Z': -0.017715148627758026}, {'X': 0.8790177702903748, 'Y': 0.3967972993850708, 'Z': -0.031096095219254494}]
[{'X': 0.8239704370498657, 'Y': 0.8132094144821167, 'Z': -8.734034054214135e-05}, {'X': 0.7515537142753601, 'Y': 0.7594441771507263, 'Z': 0.019746534526348114}, {'X': 0.720465362071991, 'Y': 0.6594882011413574, 'Z': 0.047354377806186676}, {'X': 0.7139333486557007, 'Y': 0.5749326348304749, 'Z': 0.06456077843904495}, {'X': 0.7069194912910461, 'Y': 0.5197266936302185, 'Z': 0.08208243548870087}, {'X': 0.770499587059021, 'Y': 0.5771551132202148, 'Z': 0.08627593517303467}, {'X': 0.7721291184425354, 'Y': 0.47486627101898193, 'Z': 0.09472264349460602}, {'X': 0.7696771025657654, 'Y': 0.4271659851074219, 'Z': 0.08694685995578766}, {'X': 0.7680284976959229, 'Y': 0.389045774936676, 'Z': 0.0753120556473732}, {'X': 0.8093258142471313, 'Y': 0.5657320022583008, 'Z': 0.06152397021651268}, {'X': 0.8037421107292175, 'Y': 0.4514150023460388, 'Z': 0.07184237986803055}, {'X': 0.7986107468605042, 'Y': 0.38449013233184814, 'Z': 0.0508563369512558}, {'X': 0.7943127155303955, 'Y': 0.32699087262153625, 'Z': 0.030683135613799095}, {'X': 0.8498258590698242, 'Y': 0.5728417634963989, 'Z': 0.03052123636007309}, {'X': 0.8430967330932617, 'Y': 0.4630351960659027, 'Z': 0.037085868418216705}, {'X': 0.8365084528923035, 'Y': 0.3933795094490051, 'Z': 0.016367103904485703}, {'X': 0.8293530344963074, 'Y': 0.3333095610141754, 'Z': -0.003343213116750121}, {'X': 0.8938635587692261, 'Y': 0.5999106168746948, 'Z': -0.00016272504581138492}, {'X': 0.8916987180709839, 'Y': 0.5084401369094849, 'Z': -0.0005950351478531957}, {'X': 0.8876081109046936, 'Y': 0.4494799077510834, 'Z': -0.012744671665132046}, {'X': 0.881775438785553, 'Y': 0.3918617367744446, 'Z': -0.027192648500204086}]
[{'X': 0.8292801380157471, 'Y': 0.8236473798751831, 'Z': -0.00012897339183837175}, {'X': 0.754459023475647, 'Y': 0.7648235559463501, 'Z': 0.01409168727695942}, {'X': 0.7221224904060364, 'Y': 0.6609567403793335, 'Z': 0.037933915853500366}, {'X': 0.7183129787445068, 'Y': 0.5722659230232239, 'Z': 0.050644125789403915}, {'X': 0.7200372815132141, 'Y': 0.5140072703361511, 'Z': 0.0632006824016571}, {'X': 0.7754120826721191, 'Y': 0.5712611675262451, 'Z': 0.09652317315340042}, {'X': 0.781712532043457, 'Y': 0.47368741035461426, 'Z': 0.10490018874406815}, {'X': 0.7850486636161804, 'Y': 0.4256713092327118, 'Z': 0.09805481880903244}, {'X': 0.7870835661888123, 'Y': 0.3850012719631195, 'Z': 0.08954931050539017}, {'X': 0.8136890530586243, 'Y': 0.5601524114608765, 'Z': 0.07493554800748825}, {'X': 0.8148346543312073, 'Y': 0.4514886438846588, 'Z': 0.088581882417202}, {'X': 0.8128981590270996, 'Y': 0.39011338353157043, 'Z': 0.07003109902143478}, {'X': 0.8100062608718872, 'Y': 0.3368675410747528, 'Z': 0.05181492865085602}, {'X': 0.8515968322753906, 'Y': 0.5676798820495605, 'Z': 0.04477255791425705}, {'X': 0.8506670594215393, 'Y': 0.46172425150871277, 'Z': 0.05382774397730827}, {'X': 0.8477193117141724, 'Y': 0.39602386951446533, 'Z': 0.03758659586310387}, {'X': 0.8432762622833252, 'Y': 0.33903980255126953, 'Z': 0.020387066528201103}, {'X': 0.8922265768051147, 'Y': 0.5952390432357788, 'Z': 0.013844698667526245}, {'X': 0.892839252948761, 'Y': 0.5067430734634399, 'Z': 0.015451607294380665}, {'X': 0.8899993300437927, 'Y': 0.450740247964859, 'Z': 0.004970778711140156}, {'X': 0.8846402168273926, 'Y': 0.39625900983810425, 'Z': -0.008042220957577229}]
[{'X': 0.8370983600616455, 'Y': 0.7991762161254883, 'Z': -7.318548887269571e-05}, {'X': 0.7646111249923706, 'Y': 0.7474349737167358, 'Z': 0.0031711854971945286}, {'X': 0.7323460578918457, 'Y': 0.6491091847419739, 'Z': 0.010420989245176315}, {'X': 0.7255828976631165, 'Y': 0.5647923350334167, 'Z': 0.0074873086996376514}, {'X': 0.7229733467102051, 'Y': 0.5092278122901917, 'Z': 0.005765687208622694}, {'X': 0.7717763185501099, 'Y': 0.5669564008712769, 'Z': 0.05534433200955391}, {'X': 0.775081992149353, 'Y': 0.47723039984703064, 'Z': 0.03877047821879387}, {'X': 0.7792965173721313, 'Y': 0.45382705330848694, 'Z': 0.011410891078412533}, {'X': 0.7827795147895813, 'Y': 0.44897493720054626, 'Z': -0.010688958689570427}, {'X': 0.8079259991645813, 'Y': 0.5565792918205261, 'Z': 0.03306528925895691}, {'X': 0.8125718235969543, 'Y': 0.4465053379535675, 'Z': 0.030511949211359024}, {'X': 0.8125154376029968, 'Y': 0.3923875391483307, 'Z': 0.003046885132789612}, {'X': 0.8108197450637817, 'Y': 0.3509264588356018, 'Z': -0.020497316494584084}, {'X': 0.8458724617958069, 'Y': 0.5663659572601318, 'Z': 0.003665775526314974}, {'X': 0.8494548797607422, 'Y': 0.45812931656837463, 'Z': 0.0009538580779917538}, {'X': 0.8486979007720947, 'Y': 0.3961825370788574, 'Z': -0.023200329393148422}, {'X': 0.8455577492713928, 'Y': 0.340596467256546, 'Z': -0.048294901847839355}, {'X': 0.8873613476753235, 'Y': 0.5965420603752136, 'Z': -0.027225134894251823}, {'X': 0.8912290334701538, 'Y': 0.5070949196815491, 'Z': -0.031158339232206345}, {'X': 0.891247034072876, 'Y': 0.45161402225494385, 'Z': -0.04533696547150612}, {'X': 0.8876825571060181, 'Y': 0.39316725730895996, 'Z': -0.06383384764194489}]
[{'X': 0.8295943737030029, 'Y': 0.8044582605361938, 'Z': -6.963891792111099e-05}, {'X': 0.7590770721435547, 'Y': 0.7497833967208862, 'Z': 0.013104982674121857}, {'X': 0.7273151278495789, 'Y': 0.6494568586349487, 'Z': 0.03181281313300133}, {'X': 0.7227005958557129, 'Y': 0.5610650777816772, 'Z': 0.03878750652074814}, {'X': 0.7267813086509705, 'Y': 0.5060101747512817, 'Z': 0.046948499977588654}, {'X': 0.77544105052948, 'Y': 0.5707916617393494, 'Z': 0.0901838168501854}, {'X': 0.7784385085105896, 'Y': 0.4835864007472992, 'Z': 0.08999631553888321}, {'X': 0.7793850898742676, 'Y': 0.45676761865615845, 'Z': 0.07289262861013412}, {'X': 0.7797195911407471, 'Y': 0.44330036640167236, 'Z': 0.058353058993816376}, {'X': 0.8118773102760315, 'Y': 0.5584821105003357, 'Z': 0.06737510114908218}, {'X': 0.8163288235664368, 'Y': 0.4507795572280884, 'Z': 0.08203969895839691}, {'X': 0.8133549094200134, 'Y': 0.39603084325790405, 'Z': 0.06233994662761688}, {'X': 0.8095870018005371, 'Y': 0.3520455062389374, 'Z': 0.04378947615623474}, {'X': 0.8494790196418762, 'Y': 0.5653517246246338, 'Z': 0.035859834402799606}, {'X': 0.8523882031440735, 'Y': 0.4581812024116516, 'Z': 0.044626034796237946}, {'X': 0.848380446434021, 'Y': 0.39416056871414185, 'Z': 0.026936883106827736}, {'X': 0.8429791927337646, 'Y': 0.3383260667324066, 'Z': 0.005931308027356863}, {'X': 0.8892610669136047, 'Y': 0.5926463603973389, 'Z': 0.004006580915302038}, {'X': 0.8931788206100464, 'Y': 0.5039804577827454, 'Z': 0.005680039990693331}, {'X': 0.8919836282730103, 'Y': 0.4469452202320099, 'Z': -0.005179697182029486}, {'X': 0.8872298002243042, 'Y': 0.38938939571380615, 'Z': -0.01895812526345253}]
