[{'X': 0.717735767364502, 'Y': 0.7315305471420288, 'Z': -0.0001402326743118465}, {'X': 0.6488844156265259, 'Y': 0.7202473878860474, 'Z': 0.012480496428906918}, {'X': 0.5983565449714661, 'Y': 0.6460740566253662, 'Z': 0.02594916708767414}, {'X': 0.5660297274589539, 'Y': 0.5882214307785034, 'Z': 0.030078571289777756}, {'X': 0.5392251014709473, 'Y': 0.5728258490562439, 'Z': 0.030102144926786423}, {'X': 0.6337330937385559, 'Y': 0.48415374755859375, 'Z': 0.06748384982347488}, {'X': 0.6139962673187256, 'Y': 0.3886406421661377, 'Z': 0.07161349803209305}, {'X': 0.6026408076286316, 'Y': 0.32559484243392944, 'Z': 0.05800327658653259}, {'X': 0.5929793119430542, 'Y': 0.2700726091861725, 'Z': 0.04322291165590286}, {'X': 0.6664327383041382, 'Y': 0.4571624994277954, 'Z': 0.045490119606256485}, {'X': 0.6493159532546997, 'Y': 0.3428821265697479, 'Z': 0.05443090945482254}, {'X': 0.6354870796203613, 'Y': 0.2640773355960846, 'Z': 0.03614068403840065}, {'X': 0.6242372989654541, 'Y': 0.19565662741661072, 'Z': 0.021640075370669365}, {'X': 0.702924907207489, 'Y': 0.45172518491744995, 'Z': 0.018329717218875885}, {'X': 0.6893351078033447, 'Y': 0.33548659086227417, 'Z': 0.021169980987906456}, {'X': 0.677361249923706, 'Y': 0.2617059350013733, 'Z': 0.0027095030527561903}, {'X': 0.6673440933227539, 'Y': 0.19417664408683777, 'Z': -0.00976386945694685}, {'X': 0.7431193590164185, 'Y': 0.4690530002117157, 'Z': -0.010695403441786766}, {'X': 0.7443654537200928, 'Y': 0.37808555364608765, 'Z': -0.014804856851696968}, {'X': 0.7436175346374512, 'Y': 0.31708648800849915, 'Z': -0.02621334232389927}, {'X': 0.7408167719841003, 'Y': 0.2562794089317322, 'Z': -0.035140760242938995}]
[{'X': 0.7182556390762329, 'Y': 0.7244314551353455, 'Z': -0.00013016167213208973}, {'X': 0.6486011147499084, 'Y': 0.7215470671653748, 'Z': 0.013205816969275475}, {'X': 0.5978769659996033, 'Y': 0.6449404358863831, 'Z': 0.03234213963150978}, {'X': 0.5677577257156372, 'Y': 0.5817111730575562, 'Z': 0.042146235704422}, {'X': 0.5414637327194214, 'Y': 0.5574712753295898, 'Z': 0.04881054908037186}, {'X': 0.6328113079071045, 'Y': 0.4851932227611542, 'Z': 0.07564961165189743}, {'X': 0.6152530908584595, 'Y': 0.38522303104400635, 'Z': 0.08440395444631577}, {'X': 0.603367030620575, 'Y': 0.32306969165802, 'Z': 0.07479041069746017}, {'X': 0.5929021835327148, 'Y': 0.27171021699905396, 'Z': 0.06419152766466141}, {'X': 0.6659894585609436, 'Y': 0.4549267292022705, 'Z': 0.05715364217758179}, {'X': 0.6511560082435608, 'Y': 0.3384673595428467, 'Z': 0.07303472608327866}, {'X': 0.6358144879341125, 'Y': 0.26056990027427673, 'Z': 0.05840357765555382}, {'X': 0.6233096122741699, 'Y': 0.19599536061286926, 'Z': 0.04641737788915634}, {'X': 0.703723669052124, 'Y': 0.44781267642974854, 'Z': 0.03276063874363899}, {'X': 0.6911336183547974, 'Y': 0.3288881182670593, 'Z': 0.03918461129069328}, {'X': 0.6803997755050659, 'Y': 0.2521277964115143, 'Z': 0.021187815815210342}, {'X': 0.6705867052078247, 'Y': 0.1857219934463501, 'Z': 0.008003446273505688}, {'X': 0.7461192011833191, 'Y': 0.4650493860244751, 'Z': 0.0075252172537148}, {'X': 0.7491542100906372, 'Y': 0.371137797832489, 'Z': 0.0037395237013697624}, {'X': 0.7490967512130737, 'Y': 0.30848580598831177, 'Z': -0.007781630381941795}, {'X': 0.74598228931427, 'Y': 0.2501465678215027, 'Z': -0.015611547976732254}]
[{'X': 0.7290734648704529, 'Y': 0.7387248277664185, 'Z': -0.0001121451350627467}, {'X': 0.6558917164802551, 'Y': 0.7203232049942017, 'Z': 0.01079899724572897}, {'X': 0.5993883013725281, 'Y': 0.6486025452613831, 'Z': 0.023429444059729576}, {'X': 0.5642281770706177, 'Y': 0.5876393914222717, 'Z': 0.02911698818206787}, {'X': 0.5394607186317444, 'Y': 0.5669201612472534, 'Z': 0.030903318896889687}, {'X': 0.6342892050743103, 'Y': 0.4814676344394684, 'Z': 0.05685402825474739}, {'X': 0.6130765676498413, 'Y': 0.38139158487319946, 'Z': 0.061318036168813705}, {'X': 0.5999605059623718, 'Y': 0.31735852360725403, 'Z': 0.05190048739314079}, {'X': 0.588854193687439, 'Y': 0.2656562030315399, 'Z': 0.042642924934625626}, {'X': 0.6688883900642395, 'Y': 0.4507538974285126, 'Z': 0.04053347557783127}, {'X': 0.6494796276092529, 'Y': 0.33023369312286377, 'Z': 0.05368097499012947}, {'X': 0.6340920329093933, 'Y': 0.25147920846939087, 'Z': 0.03974065184593201}, {'X': 0.6212546825408936, 'Y': 0.18787941336631775, 'Z': 0.026805169880390167}, {'X': 0.7053794264793396, 'Y': 0.4426403045654297, 'Z': 0.018867161124944687}, {'X': 0.690604567527771, 'Y': 0.3220004737377167, 'Z': 0.022881103679537773}, {'X': 0.6772206425666809, 'Y': 0.24810200929641724, 'Z': 0.00393562251701951}, {'X': 0.6645978689193726, 'Y': 0.18762430548667908, 'Z': -0.00798893067985773}, {'X': 0.7464167475700378, 'Y': 0.45780888199806213, 'Z': -0.0014101237757131457}, {'X': 0.7489262819290161, 'Y': 0.3612017035484314, 'Z': -0.007880711928009987}, {'X': 0.7499573230743408, 'Y': 0.2971644997596741, 'Z': -0.020078307017683983}, {'X': 0.7475689649581909, 'Y': 0.24003159999847412, 'Z': -0.029956689104437828}]
[{'X': 0.7209584712982178, 'Y': 0.7386322021484375, 'Z': -0.00011442932009231299}, {'X': 0.6507128477096558, 'Y': 0.7256270051002502, 'Z': 0.010476488620042801}, {'X': 0.6001872420310974, 'Y': 0.6458314061164856, 'Z': 0.02503073401749134}, {'X': 0.5698951482772827, 'Y': 0.5791118741035461, 'Z': 0.032345227897167206}, {'X': 0.5401918292045593, 'Y': 0.5636857151985168, 'Z': 0.03661295771598816}, {'X': 0.6324852705001831, 'Y': 0.4841756224632263, 'Z': 0.06286808103322983}, {'X': 0.6139246821403503, 'Y': 0.38059040904045105, 'Z': 0.06891274452209473}, {'X': 0.6019455194473267, 'Y': 0.31537631154060364, 'Z': 0.05979977548122406}, {'X': 0.5913411378860474, 'Y': 0.26323065161705017, 'Z': 0.05052107945084572}, {'X': 0.6672344207763672, 'Y': 0.4525184631347656, 'Z': 0.04817337170243263}, {'X': 0.649670422077179, 'Y': 0.3326265215873718, 'Z': 0.06363193690776825}, {'X': 0.6339091062545776, 'Y': 0.25371482968330383, 'Z': 0.04955301061272621}, {'X': 0.6216332316398621, 'Y': 0.19356831908226013, 'Z': 0.03644665703177452}, {'X': 0.7053414583206177, 'Y': 0.4431726634502411, 'Z': 0.02778003364801407}, {'X': 0.6891878247261047, 'Y': 0.3249847888946533, 'Z': 0.034158360213041306}, {'X': 0.6747142672538757, 'Y': 0.25201255083084106, 'Z': 0.016521304845809937}, {'X': 0.6627165675163269, 'Y': 0.19501993060112, 'Z': 0.0037762122228741646}, {'X': 0.7484744191169739, 'Y': 0.4562116861343384, 'Z': 0.007987571880221367}, {'X': 0.7476195693016052, 'Y': 0.357797771692276, 'Z': 0.00254845735616982}, {'X': 0.7451698780059814, 'Y': 0.29195332527160645, 'Z': -0.010136674158275127}, {'X': 0.7404468059539795, 'Y': 0.23421701788902283, 'Z': -0.02012849971652031}]
[{'X': 0.7213612794876099, 'Y': 0.7410361766815186, 'Z': -7.625104626640677e-05}, {'X': 0.6504404544830322, 'Y': 0.7293099164962769, 'Z': 0.013210751116275787}, {'X': 0.5996129512786865, 'Y': 0.6482967734336853, 'Z': 0.030327795073390007}, {'X': 0.5686475038528442, 'Y': 0.5793128609657288, 'Z': 0.03903236612677574}, {'X': 0.5399418473243713, 'Y': 0.5584863424301147, 'Z': 0.0459415540099144}, {'X': 0.634129524230957, 'Y': 0.4849509000778198, 'Z': 0.06781429797410965}, {'X': 0.6139402985572815, 'Y': 0.3821449279785156, 'Z': 0.07332224398851395}, {'X': 0.6002187132835388, 'Y': 0.31753504276275635, 'Z': 0.06546996533870697}, {'X': 0.5889144539833069, 'Y': 0.2641361951828003, 'Z': 0.05585016310214996}, {'X': 0.6692054867744446, 'Y': 0.454759806394577, 'Z': 0.050407953560352325}, {'X': 0.6497084498405457, 'Y': 0.3360767662525177, 'Z': 0.0653555691242218}, {'X': 0.6319037079811096, 'Y': 0.25684067606925964, 'Z': 0.05127912014722824}, {'X': 0.6191105842590332, 'Y': 0.19296297430992126, 'Z': 0.03896361589431763}, {'X': 0.7083662748336792, 'Y': 0.4465423822402954, 'Z': 0.027967525646090508}, {'X': 0.6901333332061768, 'Y': 0.3266811966896057, 'Z': 0.03319497033953667}, {'X': 0.6736100316047668, 'Y': 0.25121966004371643, 'Z': 0.015998270362615585}, {'X': 0.6600928902626038, 'Y': 0.18893200159072876, 'Z': 0.0046809762716293335}, {'X': 0.7520281076431274, 'Y': 0.46116599440574646, 'Z': 0.0072560859844088554}, {'X': 0.7488673329353333, 'Y': 0.35790377855300903, 'Z': 0.00013539129577111453}, {'X': 0.7436838150024414, 'Y': 0.28986477851867676, 'Z': -0.011300754733383656}, {'X': 0.7360661029815674, 'Y': 0.2288340926170349, 'Z': -0.01912648417055607}]
[{'X': 0.7260736227035522, 'Y': 0.7496155500411987, 'Z': -0.00010646227019606158}, {'X': 0.6544659733772278, 'Y': 0.7280044555664062, 'Z': 0.01245070155709982}, {'X': 0.6012814044952393, 'Y': 0.6517399549484253, 'Z': 0.027745814993977547}, {'X': 0.5663565397262573, 'Y': 0.5865673422813416, 'Z': 0.034560415893793106}, {'X': 0.5365646481513977, 'Y': 0.5696668028831482, 'Z': 0.0383741557598114}, {'X': 0.6349232196807861, 'Y': 0.4856780469417572, 'Z': 0.06951244920492172}, {'X': 0.6128501296043396, 'Y': 0.3839123249053955, 'Z': 0.07692966610193253}, {'X': 0.5998083353042603, 'Y': 0.31852853298187256, 'Z': 0.06831781566143036}, {'X': 0.5891334414482117, 'Y': 0.2635594308376312, 'Z': 0.05923108756542206}, {'X': 0.6695730090141296, 'Y': 0.4552862048149109, 'Z': 0.05209767445921898}, {'X': 0.647880494594574, 'Y': 0.33593010902404785, 'Z': 0.07066483050584793}, {'X': 0.6311427354812622, 'Y': 0.25791239738464355, 'Z': 0.056994181126356125}, {'X': 0.61790531873703, 'Y': 0.19252663850784302, 'Z': 0.042844705283641815}, {'X': 0.7083583474159241, 'Y': 0.44749945402145386, 'Z': 0.029287319630384445}, {'X': 0.6896827220916748, 'Y': 0.32754379510879517, 'Z': 0.037331197410821915}, {'X': 0.672884464263916, 'Y': 0.25309351086616516, 'Z': 0.019030537456274033}, {'X': 0.65888911485672, 'Y': 0.1919565200805664, 'Z': 0.0063456762582063675}, {'X': 0.7520004510879517, 'Y': 0.4627928137779236, 'Z': 0.0073186918161809444}, {'X': 0.7487044930458069, 'Y': 0.3613113760948181, 'Z': 0.0019239664543420076}, {'X': 0.7444504499435425, 'Y': 0.2935943305492401, 'Z': -0.01075834408402443}, {'X': 0.7374231219291687, 'Y': 0.23295798897743225, 'Z': -0.020271703600883484}]
[{'X': 0.7205884456634521, 'Y': 0.7368434071540833, 'Z': -0.00013266703172121197}, {'X': 0.6493909955024719, 'Y': 0.7248773574829102, 'Z': 0.016871221363544464}, {'X': 0.5964786410331726, 'Y': 0.6469214558601379, 'Z': 0.034093450754880905}, {'X': 0.5655286312103271, 'Y': 0.5847684144973755, 'Z': 0.04270302131772041}, {'X': 0.5404654741287231, 'Y': 0.5636875033378601, 'Z': 0.04767553135752678}, {'X': 0.6323276162147522, 'Y': 0.48199817538261414, 'Z': 0.06741634756326675}, {'X': 0.6125714778900146, 'Y': 0.3813857436180115, 'Z': 0.07178083807229996}, {'X': 0.5991482734680176, 'Y': 0.31795698404312134, 'Z': 0.06047440320253372}, {'X': 0.5880596041679382, 'Y': 0.2650303840637207, 'Z': 0.05002853274345398}, {'X': 0.6667016744613647, 'Y': 0.453695684671402, 'Z': 0.046982280910015106}, {'X': 0.647779643535614, 'Y': 0.33501294255256653, 'Z': 0.05926227942109108}, {'X': 0.6300264000892639, 'Y': 0.2553986608982086, 'Z': 0.04276404529809952}, {'X': 0.6162436008453369, 'Y': 0.19023039937019348, 'Z': 0.029690757393836975}, {'X': 0.7051401138305664, 'Y': 0.44796040654182434, 'Z': 0.02166345901787281}, {'X': 0.6898885369300842, 'Y': 0.3260972499847412, 'Z': 0.024828419089317322}, {'X': 0.675380527973175, 'Y': 0.25077152252197266, 'Z': 0.0060609388165175915}, {'X': 0.6627433896064758, 'Y': 0.18724629282951355, 'Z': -0.0052611432038247585}, {'X': 0.7482910752296448, 'Y': 0.4656502902507782, 'Z': -0.0031623090617358685}, {'X': 0.7476202249526978, 'Y': 0.3667854964733124, 'Z': -0.011266032233834267}, {'X': 0.7436259984970093, 'Y': 0.3017454743385315, 'Z': -0.0238479170948267}, {'X': 0.7360398173332214, 'Y': 0.24252736568450928, 'Z': -0.03181485831737518}]
[{'X': 0.7230364680290222, 'Y': 0.7504581212997437, 'Z': -0.00010504266538191587}, {'X': 0.6517754197120667, 'Y': 0.7259348630905151, 'Z': 0.012423048727214336}, {'X': 0.5997579097747803, 'Y': 0.6461436748504639, 'Z': 0.02775152027606964}, {'X': 0.5677226185798645, 'Y': 0.5829958319664001, 'Z': 0.03369433805346489}, {'X': 0.5403679609298706, 'Y': 0.5672323703765869, 'Z': 0.03759658336639404}, {'X': 0.6357437968254089, 'Y': 0.4849047064781189, 'Z': 0.06524410098791122}, {'X': 0.6153599619865417, 'Y': 0.382127583026886, 'Z': 0.06756247580051422}, {'X': 0.6021172404289246, 'Y': 0.3186074495315552, 'Z': 0.056999802589416504}, {'X': 0.5908676385879517, 'Y': 0.2630346715450287, 'Z': 0.04704255238175392}, {'X': 0.6699529886245728, 'Y': 0.4584018886089325, 'Z': 0.04610280692577362}, {'X': 0.6501109004020691, 'Y': 0.33791419863700867, 'Z': 0.05734088644385338}, {'X': 0.6341115832328796, 'Y': 0.25821661949157715, 'Z': 0.042998116463422775}, {'X': 0.6219066381454468, 'Y': 0.1919102668762207, 'Z': 0.02946472354233265}, {'X': 0.7073137760162354, 'Y': 0.4545271694660187, 'Z': 0.021233871579170227}, {'X': 0.6909376382827759, 'Y': 0.3353581726551056, 'Z': 0.024195952340960503}, {'X': 0.6747002005577087, 'Y': 0.25826749205589294, 'Z': 0.005268313456326723}, {'X': 0.6608137488365173, 'Y': 0.1946166455745697, 'Z': -0.00813573319464922}, {'X': 0.7491496801376343, 'Y': 0.4733160436153412, 'Z': -0.003500648308545351}, {'X': 0.7407344579696655, 'Y': 0.37630248069763184, 'Z': -0.011978186666965485}, {'X': 0.7305282950401306, 'Y': 0.3136777877807617, 'Z': -0.027034005150198936}, {'X': 0.7173219919204712, 'Y': 0.2583819031715393, 'Z': -0.038078341633081436}]
[{'X': 0.7226219773292542, 'Y': 0.746830940246582, 'Z': -0.0001614616485312581}, {'X': 0.6480808258056641, 'Y': 0.7226888537406921, 'Z': 0.02170967310667038}, {'X': 0.5958283543586731, 'Y': 0.6478226184844971, 'Z': 0.04306234419345856}, {'X': 0.5654647946357727, 'Y': 0.5878438949584961, 'Z': 0.05236656591296196}, {'X': 0.5466972589492798, 'Y': 0.5545171499252319, 'Z': 0.059800051152706146}, {'X': 0.6339301466941833, 'Y': 0.48584073781967163, 'Z': 0.0700291320681572}, {'X': 0.6130713820457458, 'Y': 0.38550180196762085, 'Z': 0.06967818737030029}, {'X': 0.5998708009719849, 'Y': 0.32221168279647827, 'Z': 0.0591900609433651}, {'X': 0.587549090385437, 'Y': 0.26654642820358276, 'Z': 0.047642726451158524}, {'X': 0.6656328439712524, 'Y': 0.4652519226074219, 'Z': 0.04261767491698265}, {'X': 0.6456276774406433, 'Y': 0.34262827038764954, 'Z': 0.04247657209634781}, {'X': 0.6294962763786316, 'Y': 0.26066651940345764, 'Z': 0.024328529834747314}, {'X': 0.6163421869277954, 'Y': 0.19158145785331726, 'Z': 0.011067823506891727}, {'X': 0.7011042237281799, 'Y': 0.4678651690483093, 'Z': 0.010084669105708599}, {'X': 0.6836600303649902, 'Y': 0.35194551944732666, 'Z': 0.0037992035504430532}, {'X': 0.6651549935340881, 'Y': 0.27695533633232117, 'Z': -0.01939154975116253}, {'X': 0.6484920382499695, 'Y': 0.21172598004341125, 'Z': -0.033817440271377563}, {'X': 0.7404950261116028, 'Y': 0.49354755878448486, 'Z': -0.022856246680021286}, {'X': 0.7275485396385193, 'Y': 0.4058420658111572, 'Z': -0.04006850719451904}, {'X': 0.7107372879981995, 'Y': 0.3536794185638428, 'Z': -0.06183785945177078}, {'X': 0.6899683475494385, 'Y': 0.30915117263793945, 'Z': -0.07855679839849472}]
[{'X': 0.7179418206214905, 'Y': 0.745160698890686, 'Z': -0.00014065434515941888}, {'X': 0.643787145614624, 'Y': 0.7205248475074768, 'Z': 0.01833932101726532}, {'X': 0.5966728925704956, 'Y': 0.6397078037261963, 'Z': 0.031098894774913788}, {'X': 0.5665920376777649, 'Y': 0.5831341743469238, 'Z': 0.03236290067434311}, {'X': 0.5410327315330505, 'Y': 0.5487704873085022, 'Z': 0.02849588729441166}, {'X': 0.6342370510101318, 'Y': 0.4871949553489685, 'Z': 0.04883267730474472}, {'X': 0.6153241395950317, 'Y': 0.3839418888092041, 'Z': 0.04384985938668251}, {'X': 0.6051543354988098, 'Y': 0.3184865713119507, 'Z': 0.0385022833943367}, {'X': 0.5936374068260193, 'Y': 0.25577428936958313, 'Z': 0.03335961699485779}, {'X': 0.666721522808075, 'Y': 0.4688459634780884, 'Z': 0.02075774595141411}, {'X': 0.6523053646087646, 'Y': 0.34822967648506165, 'Z': 0.012188127264380455}, {'X': 0.63551265001297, 'Y': 0.26805493235588074, 'Z': -0.003535808762535453}, {'X': 0.6193747520446777, 'Y': 0.19864439964294434, 'Z': -0.010758861899375916}, {'X': 0.7027639150619507, 'Y': 0.47509849071502686, 'Z': -0.011449863202869892}, {'X': 0.6891937851905823, 'Y': 0.36039167642593384, 'Z': -0.026239851489663124}, {'X': 0.6714178323745728, 'Y': 0.2836167514324188, 'Z': -0.04469314590096474}, {'X': 0.6528457999229431, 'Y': 0.21436715126037598, 'Z': -0.05496107041835785}, {'X': 0.7411705851554871, 'Y': 0.5037769079208374, 'Z': -0.04370766878128052}, {'X': 0.7217928171157837, 'Y': 0.43599915504455566, 'Z': -0.07466889917850494}, {'X': 0.695537269115448, 'Y': 0.41224154829978943, 'Z': -0.10124128311872482}, {'X': 0.6657900810241699, 'Y': 0.3964274525642395, 'Z': -0.11709204316139221}]
[{'X': 0.7142139673233032, 'Y': 0.752025842666626, 'Z': -0.00012792210327461362}, {'X': 0.6460419297218323, 'Y': 0.7240511178970337, 'Z': 0.005202652886509895}, {'X': 0.59657883644104, 'Y': 0.6426214575767517, 'Z': 0.009873045608401299}, {'X': 0.5620563626289368, 'Y': 0.5859639644622803, 'Z': 0.0029307662043720484}, {'X': 0.53502357006073, 'Y': 0.552060067653656, 'Z': -0.01328629907220602}, {'X': 0.6362637281417847, 'Y': 0.4954361915588379, 'Z': 0.029277682304382324}, {'X': 0.6188902854919434, 'Y': 0.39141198992729187, 'Z': 0.019676581025123596}, {'X': 0.609569251537323, 'Y': 0.3245084881782532, 'Z': 0.007813859730958939}, {'X': 0.5993159413337708, 'Y': 0.2610171139240265, 'Z': -0.0004779092560056597}, {'X': 0.6677788496017456, 'Y': 0.48231241106987, 'Z': 0.003070026868954301}, {'X': 0.6573233008384705, 'Y': 0.3608391284942627, 'Z': -0.012959204614162445}, {'X': 0.6391450762748718, 'Y': 0.28095534443855286, 'Z': -0.034174844622612}, {'X': 0.6225304007530212, 'Y': 0.21116778254508972, 'Z': -0.045494064688682556}, {'X': 0.7020135521888733, 'Y': 0.4930568337440491, 'Z': -0.02603021450340748}, {'X': 0.6912116408348083, 'Y': 0.38123029470443726, 'Z': -0.051814112812280655}, {'X': 0.6698943376541138, 'Y': 0.3086179196834564, 'Z': -0.07697545737028122}, {'X': 0.6495649814605713, 'Y': 0.24576976895332336, 'Z': -0.08973268419504166}, {'X': 0.7371560335159302, 'Y': 0.5273817777633667, 'Z': -0.05647772178053856}, {'X': 0.7209876775741577, 'Y': 0.46413952112197876, 'Z': -0.09796738624572754}, {'X': 0.6887273788452148, 'Y': 0.4538131654262543, 'Z': -0.12369513511657715}, {'X': 0.6537430882453918, 'Y': 0.45478492975234985, 'Z': -0.13835372030735016}]
